Company,Position
FRAL - Fieldend Residents Assocation Ltd,Company Secretary - Volunteer
Travelport,Head of Solution Consultancy Europe
Travelport,Strategy Manager
Travelport,Senior Marketing Manager for Global Online Travel Agencies
Travelport,Key Account Manager
Travelport,Merchandising Manager
Despegar y Viajes Falabella Colombia,Country Manager
Profesional independiente,Consultor en recursos humanos
Travelport,Project Manager III
Despegar,Regional Commercial Coordinator - Sourcing Air
Travelport,Technical Optimization Consultant
Ministerio de Defensa,Especialista administrativo
HumanitasIT,Tech Recruiter l QA
Blue Diamond Holding,CEO
Gestion Mandala Recursos Humanos y Procesos Empresariales,Responsable de búsqueda y selección IT 
Openbank,Chief Information Security Officer (CISO)
BotBit,Head of Customer Success
"Facultad de Derecho, Universidad de Buenos Aires",Profesor
Humanitas IT,Responsable de Reclutamiento y Selección LATAM
Travelport,General Manager Mexico and Central America
Sondeos,Tech Lead & IT Manager
Travelport,Chief Commercial Officer (CCO) - Travel Partners
Travelport,"Director, Software Engineering"
Banco Ciudad,Analista funcional Banco Ciudad
Swiss Medical Group,Analista Técnico Sr.
Global App Testing,Event Marketing Manager
Almundo,Product Manager
Travelport,Head of Agency Sales - Americas & Global Accounts
Siessa,Recruiting Manager
Despegar,Product & Data Analytics Manager - LATAM
Despegar,Quality Assurance Regional Coordinator
Agile Onboarding,IT Recruiter
PK,IT Recruiter
BairesDev,Sales Executive
AlmaFintech,Software Engineering
Wallbox Chargers,Talent Acquisition Partner
Despegar,Head of Product (Suppliers)
Naranja ,Chief Data & Analytics Officer
Beat,General Manager
Trip Ninja,CEO
ECOSISTEMAS,Analista QA SSR
Travelport,Latin America HR Administrator
Butler,Founder & CEO
TRAVELPORT CAMEROUN,Chef d'agence et responsable technique
MPA Consultora,Talent Acquisition-IT Recruiter
MegaTech Live IT Services,Service Delivery Manager
ARPILAR,General Manager
Turismocity,Co-Founder & CEO
Almundo,Head of Growth & Performance
Ana Tabanera IT Recruting,Information Technology Recruiter
Travelport,"Data Insight Consultant, APAC"
Accenture Argentina,Delivery Lead
Best Day Travel Group,Chief Product & Technology Officer
Traveldax,Founder & CEO
Softvision,Senior Recruitment Specialist
South Talent Hub,Founder
Humanitas IT,IT Recruiter
Solutions Group S.A.,Jefe de Selección
Zinier,Sales Engineer
VATES - Software,Front End Developer | Angular
Happy Travel Baku,head of incoming department
Loyalty Security Association,Co-Founder
Almundo,CEO & Founder
Emprender,C
TripStack,VP GLOBAL SALES
Despegar,Engineering manager III
Moody's Local,Analyst / AA Manager
Best Day Travel,Chief Supply Officer 
Best Day Travel,Managing Director
SENTIENS,Fundador y Director
Stealth Tech,Reclutadores IT Sr
Despegar,Regional Strategy Manager -  Operations & Customer 
Almundo,Analista Producto y Business Intelligence
Baires HR,HR Agency
Fundacion ccnv,Operador Sonido
Sendatel S.A,Manager
EY,Change Management
Groupe ADENES,Conseillere relation client en expertise d'assurance
Asteroid Technologies,"Co-Founder, CEO"
Praxis,"Analista de Selección y Reclutamiento IT, LATAM - Argentina "
Jazz Software Ltd,CEO
Despegar,Lider Tecnico
CI Azumano Travel / Business,"Vice President of Sales, Marketing and Corporate Development"
Autónomo,Emprendedor independiente
Praxis,Analista de Selección y Reclutamiento IT LATAM
InterGlobe Technology Quotient,Assistant Manager
MyFlightMart,Reservations Specialist
Travelport,Program Manager
Franz Y Asociados HR ,Founding Member - Director 
Despegar.com,Analista de Payments Regional
"TradeHelm, Inc.",IT Recruiter
EY,Project Manager | Tax Global Project Engineers
Bodega Pascual Toso,Venta nacional
Travelport,Technical Consultant - API Discovery & Implementation Services 
Almundo,Flights Regional Head
Travelport,Technology Optimization Manager
Consultora Cenit,HR Services Manager
Despegar.com,Coordinador Comercial Regional de Vuelos 
LTP ASOCIADOS,"Consultoría de IT, Recruiting y la Tercerización de Talentos para procesos de negocios"
"New Relic, Inc.",Solutions Consultant
Mariano Aita fotografía,Fotógrafo autónomo
Travelport,General Manager Mexico and Central America
VTEX,Solutions Architect - Payments Specialist
Travelport,API Support Analyst
Travelport,API Support Consultant
Esplendor by Wyndham Montevideo,Reservations Agent
PedidosYa,Regional vendor operation lead
Jampp,Technical Recruiter & HR Advisor/Business Player
Grupo OSDE,Promoción y Relaciones Empresarias
Organic Latin America,Gerente de Operaciones
Bodega Dante Robino,Gerente General
Travelport,Business Analyst
Accenture,ServiceNow Developer
Praxis,Lider de reclutamiento IT
Travelport Brasil Soluções em Viagens Ltda,SR Account Manager
Grupo Hacer,President Of The Board Of Directors
Despegar,Technical Team Lead
Protec Asociados SRL,Director comercial
Atrápalo,Account Manager - Atrápalo Empresas
ARPILAR,Ejecutiva de cuentas - Eventos corporativos 
Arpilar,Eventos Corporativos
FATE SAICI,Coordinador de Mejora Operacional
Atrápalo Colombia,Escápate al mejor precio
Jolet RRHH,Recruiter/ Headhunter
UADE,Comunicaciones Internas
Kubikware,Head of People 
BestDay Argentina,Gerente de servicios aéreos
Gobierno de la Ciudad de Buenos Aires,Analista de RR. HH.
