Company,Position
MPA Consultora,Talent Acquisition - IT Recruiter
NICE Actimize,Office Manager
Amazon,Software Development Engineer AWS
Cognizant,Lifecycle Supervisor for Latam
SeSocio.com,Regional People & Culture Manager
Quirós Consultores solo sabemos de PyMES,Consultor de Empresas Familiares
MITA - Master Internacional en Tecnología de los Alimentos,Secretaria de Relaciones Académicas
Werben HR,"Tech Recruiting Manager (Arg- Miami, USA) "
Globant,Lead Recruiter
ExxonMobil,US Tax Senior Supervisor
Arrorró mi corazón,Directora
Ring,Senior Technical Recruiter
"FEED, vending machines",Fundador
Dell,Human Resources Advisor
MURAL,Compliance Manager
Vanguard Logistics Services,International Agent Accouting
ToursByLocals,People Care Advisor
Asamblo,President & Co-Founder
Digbang,HR Manager
Freelancer.com,Freelance Expert Designer and Illustrator | Cartoon's Specialist
Hublance,Talent Acquisition/ Senior IT & SAP Recruiter International
intive,People Assistance Team Lead
NEORIS,Human Capital Consultant
Accenture Colombia,Arquitecto de soluciones
Cognizant,Senior Manager - Projects
Streambe,Desarrollo de software
Baitcon,ABAP Sr Consultant
Freelance,Recruiting & Talent Aquisition Specialist
Belatrix . A Globant Company ,Sr Recruiting Analyst
FNS | CAPITAL,Consultora de Recursos Humanos
Universidad de Buenos Aires,Jefe de Trabajos Prácticos 
genomIT & Zoigen,Cofounder
SID Global Solutions (Digital Transformation Experts),API Architect
Oi,Consultor de Relacionamento Digital
Cognizant Technology Solutions,Associate
aliantec,Co-founder - CEO
WuffWuff und ihre Veteranen,Ilustrator
ASAP Techonology SRL,Soporte E-Commerce
Neoris,Human Capital Consultant
intive,HR Specialist
Cognite AS,Director of Customer Success
Grupo Bimbo,Regional Procurement Manager
Cognizant Technology Solutions,Team Lead
Kapsch TrafficCom AG,Senior Platform Developer
DXC Technology,Senior Talent Acquisition Specialist
Atos,Engagement Manager for Groupe PSA account
Groupe PSA,IT and Operations Director
Qstom - Software de Gestión,Director de desarrollo
AT&T,Service Manager
JPMorgan Chase & Co.,Sr Talent Acquisition
Hexacta,Lider de proyecto
Santander Tecnología Argentina,Senior Talent Acquisition Specialist
IBM,QA & Testing Delivery Manager
Connexos RH,Consultora
everis,Consultor PM-PMO
LabsXD,CEO & Founder
International Institute for Learning,Senior Trainer and Consultant
Prominente (Grupo Roggio),Analista de RRHH/Selectora IT
Aintegra - Red de Servicios Profesionales,Co-Founder
TISA Software,Freelance Senior Business Intelligence Developer
BairesDev,VP of Talent Acquisition
Latincoaching,CEO
Barbados Ministry of Foreign Affairs and Foreign Trade,Barbados Ambassador to the Republic of  Panama
Dell Technologies,Principal Consulting Engineer
Randstad Argentina,Generalista de Recursos Humanos - Outsourcing
Apple,Senior Interactive Producer
INTEC / Gerencia Operativa Tecnologías e Innovación Educativa,Asesora de Recursos Humanos
Manpower,RPO - Talent Acquisition Leader EMEA South and LATAM in Vestas - WindEnergy
De Supernova,Partner
STRATESYS,Project Leader
BairesDev,Senior Engagement Manager
ADP RPO,Client Relationship Manager 
Xixtech,Business Manager
Iván Carrino & Asociados,Socio fundador
LATAM Airlines,Analista de compras
L'Oréal,Asuntos Publicos & Advocacy Manager
Cobro Inmediato,Responsable de RRHH
RE/MAX NET,Agente Inmobiliario asociado a Remax
Unilever,Human Resources Talent Partner
WNPOWER.COM,CEO & Co-Founder
La Caja de Ahorro y Seguro,Analista BI
MediaMonks,Tech Lead
complejo de cabañas,Propietario
Cognizant,Manager EAS - SAP
Interbanking,Analista Desarrollador Senior
AFIP,Auditor de TI
Ledesma S.A.A.I,Jefe de Aplicaciones AC - Ledesma S.A.A.I
vision tecnologica,Consultor IT
Atos,Gerente de Proyectos
Wabi Inc.,Full Stack Developer Sr Wabi - YOP
Mercado Libre,IT Project Lead - Fraud Prevention - Online Payments
CDT Soluciones Tecnológicas,Analista de Selección IT Sr
Osmedica,Analista Funcional
Ciudad Cultural Konex,Executive Director
everis,Recruiter at Everis
Claro Argentina,Ejecutivo de cuentas
Agencia Bubba,Director
Fundación H.A.Barceló,Profesor Titular - Cátedra de Psiquiatría
Cognizant,QA Manager
Poder Judicial de la Nación,Perito Psicóloga
Truelogic Software,Talent Lead
Experta Seguros,Jefe de proyecto de desarrollos de software.
Freelance,Dirección/ Producción Audiovisual
3DImpressions,Director de diseño y desarrollo
Bitex.la,COO
Cencosud S.A.,SAP Security Analyst
Self-employed,Business and Technology Consultant
Allianz,Jefe de siniestros Interior
Pacific Informatique,Chef d'entreprise
DoUntilplus,Socio Fundador
Accenture,Lead Network Engineer
Shifta,Head of AI
Grupo Mercel S.A,Responsable de RRHH / Líder de Selección IT
S&E - Soluciones y Emprendientos S.R.L.,Búsqueda y Selección
SEEDUC RJ,Readaptada
First Systems SRL,Selectora
PSA Peugeot Citroën,Auditor ABAP
Cognizant,HR Manager Spain
Diversey,Marketing Manager Cluster South East
JPMorgan Chase & Co.,Associate Engineer
Innova Business Consulting,HR Service
AutoServe1,Fullstack Lead Developer
EMPRESA,Budge City
Procuración General de la Nación,Prosecretario Letrado
iones,encargado
Espin Labs,Analista Funcional Senior
Freelance,Analista Funcional Senior
HCDN,Responsable de Búsquedas Internas y Reubicación Laboral | Líder de proyectos de Capital Humano
HunKa,"Cofounder, Human Development Consultant, IT Headhunter and Sonotherapist"
Discovering REAL Business Requirements for Software Project Success,Author
Groupe PSA,Specialist / Project manager
VON DER HEIDE,Talent Experience Account Manager
Assurant,Application Architect - Salesforce
Cognizant,Staffing Manager - Talent Delivery
Softtek,Talent Attraction Leader
VMC Consulting,Founder
HP Enterprise Services,Appl Mgmt Svc Del Cons III for American Airlines
TheOceanCloud,CTO
Buffa Sistemas at Personal -Telecom,Analista Desarrollador
Banco Ciudad,Analista técnica - DevOps
A1 Sistemas,Analista de sistemas
Technisys,Sr. Core System Architect 
HDI Seguros,Analista Funcional y  técnico
Cognizant Technology Solutions,Integration Analyst
PSA Peugeot Citroën,Business Analyst Leasing
IBM Global Business Services,Project Manager
Accenture,Application Development Senior Analyst
IBM GBS,PM
Laboratorios Andrómaco,Jefe de Compras / Material Productivo y Comex
Universidad Abierta Interamericana,Docente Adjunto
Constructora Cavcon S.A,Empleada Administrativa
Arcos Dorados,Jefe de Sistemas de Planeamiento y Finanzas Corp.  Añadir sección
FlexFintech,Gerente de Proyectos
Casa Vegana,Administración - Ventas
PSA Peugeot Citroën Argentina,Business Intelligent Project Leader
MT-AR,Responsable de Marketing y CRM
Multiplan Empreendimentos S.A.,Project Manager
GLOBALTEK DEVELOPMENT S.A.,Administrador de Proyectos
BNP Paribas Cardif,Analista de Calidad Ssr
ExxonMobil,FronTier SAP FI Scrum Master
Sistema de atención medica de emergencia,SAME
GPS SRL - Group of Private Security SRL,Administración de Recursos Humanos
Aon,Tech Lead Regional
Hexacta,HR Analyst
Avon,"PMO, LEADER QA, ANALISTA FUNCIONAL, ANALISTA SENIOR BI"
Atos,Service Delivery Manager
Nabors Industries,Treasury Manager
Marsh & McLennan Companies,Application Support Manager
Máquina de Disfraces,Diseñadora
FreedomPay,Senior Software Engineer
Gastón Gentile Fotorafía,Director
SKF Argentina,Jefe de Solution Factory
Softvision,QA Automation Engineer
Loddin S.A.,Gerente de Sistemas
Capgemini,IT Project Manager at Cargill
Datastar,Gerente de Telecomunicaciones LATAM.
Varios empresas ,Consultoria Capacitación & Coaching para la Organizacion de Estudios y Pymes
Cencosud S.A.,Especialista en Proyectos
Zurich Insurance Company Ltd,Productora Asesora de Seguros
ExxonMobil,Data Management
Sanatorio la Trinidad,Lic. en Nutrición
Banco Patagonia,Analista Servicios de Integración / Desarrollador
Global Share S.A.,System Integration Analyst
GhidiniRodil,Associate Consultant
Werben HR,Recruitment Specialist
Prisma Medios de Pago S.A.,Technical Support Analyst
Clarius Consulting,Software Development Engineer
CDA Informática,Analista Sr.
JPMorgan Chase & Co.,Scrum Master - VP
VeriTran,Product Development
universidade,Professora
DYCOS,Soluciones Tecnológicas a Medida
TIM,Project Manager - Consultant
Asian Spirit Inbound Tour Operator, Product Executive
General Motors SA,IT Software Developer Sr
estudio contable,asistente
Ambientes Funcionales S.R.L.,Responsable del Área Comercial
AFIP,Full Stack Software Engineer
Verizon Business,System analysis and programming
Acumen Solutions,Einstein Analytics Architect
Wormhole IT,Web Developer
CONSULTORA,Gerente de RRHH
aliantec,IT Recruiter
Cognizant,Sr. Delivery Manager
Cognizant Technology Solutions,Analyst QA
54cuatro,Head of Software Development
MediaCom,Digital Planner
USDA Farm Production and Conservation,Information Technology Project Manager
Claves,Consultor freelance
Hansen Technologies,Consultor
Olenick & Associates,Senior IT Consultant
Clarius Consulting,Senior Software Engineer
Self-Employed,Tecnologías de la información
Dotlink Argentina,Socio Fundador
Assurant,Lider de Compliance 
Beems,Co-Founder
Self-employed,Information Technology Analyst
Red Link S.A.,Coordinador
Cognizant,Sr. Manager
Corte Suprema de Justicia,Ingeniero en Sistemas de Información
Univerus,Senior Full Stack Developer
Microsoft,Adoption Specialist
Molinos Rio de la Plata,Consultor SAP SD/ LE-TRA - Implementación de sistema de Picking Automático
Seguros Broker S.A.,Senior Consultant
Cognizant,"Transformation Manager, Diversity and Inclusion"
Efectivo Sí,Administrador de Infraestructura Sr
Red Link S.A.,Lider PMO portafolio Individuos - Canales digitales y presenciales
Hewlett Packard Enterprise,Analista de programas Sr
Red Link S.A.,IT Security Sr. Analyst SOC & CSIRT
OnTime Transport,Gerente en OntimeTransport
Summa Solutions,Operations Manager
Santander Argentina,Responsable de Area de Aprendizaje
ANSES,Constructor de Software
PSA Peugeot Citroen,Analista de Sistemas Sr
Self Employed,Software Developer
Natural Tech House,Agile Coach
Globant,IT Specialist - Java Developer
10Pines,Partner
atSistemas,Delivery Manager
MSD,Back End Developer
Abbott,Customer Success Manager
Zoo Logic,Responsable de Análisis Funcional y Team leader de QA
Nokia,Product Specialist
NorthgateArinso Argentina,Regional Service Delivery Manager
HP,Solution Architect
Sistemas Activos SRL,Analista funcional
ExxonMobil,IT Application Analyst
ISBAN Argentina S.A.,Business Analyst
Kin + Carta,"Scrum Master, Consultant"
Deloitte Argentina,Senior Auditor
Cognizant Technology Solutions de Argentina SRL,Associate Director / Applications Delivery
Cisco,Manager Senior LATAM
JPMorgan Chase & Co.,Associate
Globant,Project Manager
Fiserv,Project Leader
Santander Tecnología,Tech Lead
VU,Business Quality Assurance Manager
CDA Informatica,Systems Analyst
Balanz Capital,Desarrollo Backend
Google,Customer Success Manager - Google Cloud
Hewlett Packard Enterprise,Head of HR
Secretaría de Modernización de la Nación Argentina,Analista Business Intelligence
HP Enterprise Services,Applicaton Delivery Manager
golbalfarm,Analista Desarrollador
ITnow,Agile Transformation Coach via Infortec Consultores
DXC Technology,Project Development Manager
"Freelance, self-employed",Freelance
Sopra Steria,Project Manager
Atos,IT Project Manager - Coordinador transversal Integracion Tecnica  - PSA account
Atos Consulting,QA Specialist
JPMorgan Chase & Co.,JP Morgan - Associate for Application Support
ank,Devops
EDS,System engineer
HP/DXC Argentina - SKF Sweden,BUSINESS INTELLIGENCE ANALYST / ETL DEVELOPER
Novacomp,Mainframe Consultant
Cognizant,LATAM Delivery Head & Spanish South America Country Manager
everis Argentina,IT Consultant
Red Link S.A.,PMO
Fundación Barceló,Bedelía
Globant,Senior Delivery Manager
Cognizant Technology Solutions,Senior Manager - Cognizant Digital Business
Solutique,IT Consultant
Cognizant,Manager
JPMorgan Chase & Co.,Application Production Support
Mercado Libre,Technical Leader
Traditum SA,Gerente General
INTERBANKING S.A.,Administración y Soporte Técnico
Banco de la Provincia de Buenos Aires,Analista programador
ExxonMobil,Release Train Engineer
ExxonMobil,Project Manager
S&V Consulting S.R.L.,Software Developer
